,movie,summary
1122,5050_2011,the honesty driving this picture is undeniable and is evident in every frame  adam a compelling protagonist and for my part i couldn t take my eyes off of him  this frequently funny and moving film proves humour can be wrung from tricky subjects  providing it s done with sufficient thoughtfulness and wit  so well meaning you want to hug it  whether you re after a comedy drama about cancer or a rogen laugh fest with added heart  this does a remarkable job of balancing the odds  add 50 50 to your want to see list  and then make an appointment for your annual physical with your doctor  still  it s gordon levitt s choices that continue to impress  sure  he owned one of the most jaw dropping sequences in last summer s blockbuster inception  but the actor remains drawn to profoundly human scale hurts and quiet triumphs  chances are about 90 10 that you ll enjoy 50 50  the tightrope act of a script by will reiser is elevated in remarkable ways by one of the best ensembles of the year  led ably by the great joseph gordon levitt  doing career best  oscar nomination worthy work  
1123,born_to_be_wild_2011,one way or another you ll find yourself saying   awwwwww   a terrific big screen 3d film about the rescue of baby elephants and orangutans by dedicated humans introduces young people to a strong conservation ethic  few will be unmoved by the two women s courage and persistence  though morgan freeman s intoning voiceover is less persuasive  a nice family outing  this  but those after an in depth discussion had better look elsewhere  a decent weekend diversion  this imax documentary is cute enough to engage your kids  while teaching them the most basic lessons in ecological responsibility  their stories are touching and inspiring  but let s face it  the visuals are what make this movie  born to be wild takes you to places you ve never been and makes you wish you had  the hip soundtrack adds momentum  and the reassuring narration of morgan freeman lets us know these lucky orphans will have a fighting chance for survival after taking their first steps    or swings    back into the wild  given the sheer scale of the format  imax provides an ideal context in which to experience 3d  allowing the eyes to wander about each periphery filling frame and focus on whatever catches our interest  the way we do in the real world  it s sort of poetic justice that the wretched  sucker punch  is getting kicked off four manhattan imax screens after just two weeks by this charming nature documentary  although it runs just a fleet 40 minutes  the film proves a rich and memorable journey  wholesome and educational  teaches right from wrong  and brings up some important environmental issues  some animal parts  it turns out  are perfectly suited to 3 d  none more so than an elephant s trunk  
1124,13_assassins_2011,13 assassins looks at honour from many angles  without becoming simplistic  ichii hasn t lost his edge after all  this slam bang remake of a 1963 feature by eichi kudo builds slowly  accumulating characters and themes  then explodes into a prolonged and masterful battle sequence inside a deserted town  one can pinpoint the exact moment when 13 assassins transforms from vivid samurai drama to insane work of genius  though 13 assassins  setup could stand some tightening  it s all necessary prelude to a spectacular  action packed final hour where all hell breaks loose and the streets and rooftops flow with blood  the dialectic about duty may not translate to a modern western audience  but the savage sword fighting is to die for  a richly cathartic experience with a wide range of emotional colors  miike s magisterial craftsmanship is beyond doubt as he sets up another complex study of violence and its implications  miike directs the  village of death  battle with an astonishing relentlessness  just when you think you ve seen the last bout of flesh skewering  he tips another bloody bucket of slaughter into the mix  what s special about 13 assassins is a 45 minute battle scene in which 13 heroic warriors take on the vastly superior army of a wickedly sadistic shogun lord  13 assassins musters nearly twice as many swordsmen as kurosawa s seven samurai and is about two thirds as good  although it delivers the requisite genre thrills  
1125,pariah_2011,you don t have to be black or lesbian or even know someone who s gay to appreciate  pariah   you just have to have gone through or be going through the process of growing up  rees tells alike s story in vignettes that are sometimes slapstick  sometimes heartbreaking  always tender  especially rewarding about oduye s performance is how she s able to portray that frustration while retaining hope and optimism  first time feature filmmaker dee rees has crafted a movie that is consistently riveting because it is steeped in truth  she and her cast never once strike a false note  adepero oduye is excellent as a brooklyn teen coming to terms with her sexual identity in this gritty film 
1126,the_guard_2011,a hugely entertaining but frustratingly disorganised film  packed with priceless moments which never quite coalesce into a rewarding whole  
1127,pina_3d,so this is what 3 d is capable of when used for art rather than the commerce of hiking ticket prices and repurposing cartoons  
1128,tomboy_2011,since we are dealing with fresh faced tweens  we are spared the gender histrionics to be found in the likes of the crying game or boys don t cry  those are indeed bigger films  but sometimes small things can pay off quite nicely  there are nevertheless some marvelous moments  
1129,arthur_christmas,parents may shed a nostalgic tear or two  while their children can enjoy spotting all the witty visual details  the premise recalls those sophisticated lies parents cook up when their kids start asking logical questions about santa  
1130,weekend_2011,terrific low key turns from the two leads inject their growing bond with genuine emotion  making this a love story that will get under the skin of romantics everywhere  
1131,take_shelter,an impressively sustained slow burn parable from writer director jeff nichols  shot with ominous beauty  guarding its mysteries with care  
1132,being_elmo_a_puppeteers_journey,more than 100 million elmo owners can t be wrong  can they  
1133,silent_souls,full of striking visual images and fragmentary half truths   a dour meditation on love and death that arrests and alienates in equal measure  aleksei fedorchenko s crisp  beautiful film ponders the oddness and necessity of the folk rites in which we all seek solace  fedorchenko may not exactly be on oath with all of these meryan traditions of his  but they create an utterly distinctive world  and the close harmony provided by a choir in one scene really is arresting  the wheels within wheels of sly tale spinning turn quietly  turn deep  an incredibly moving and masterfully controlled experience  stunningly photographed for the wide screen silent souls is another indication that the russian cinema  despite its problems  is still capable of producing major work  it s lovely and slow and melancholic and short   75 minutes  yet you feel you ve been gone for an epoch or two  rife with earthy details and poetic associations  the movie often advances like a daydream  this profound and immensely touching film in only 75 perfect minutes achieves the profundity of an epic  there s a trancelike quality to its best moments  but too much of it is artfully boring  director alexei fedorchenko doesn t use sheer duration to immerse viewers in the spiritual journey  not counting the credits  this beautifully photographed and quietly evocative movie is barely 70 minutes long  
1134,the_arbor_2010,what emerges is a curious mix of avant garde technique and social realist case study  equally indebted to barnard s art world video background and dunbar s own close to the bone writing  numerous celluloid experiments have fudged reality and fiction lately  but few are as formally inventive or socially revelatory as the arbor  brings the dunbar story to life through a technique known as  verbatim theater   in which actors lip synch testimony from the real people they re portraying  a bold experiment that doesn t quite work  barnard revisits the foredoomed career and tragic afterlife of this slum born self educated writer to electrifying effect  shooting mainly on location in bradford  with actors lip synched to actual recordings of the people they portray  a mother daughter tragedy presented in a cinematic hall of mirrors  the arbor aestheticizes its grim nonfiction narrative with mixed results  barnard has created a modernist  compassionate biopic  a tribute to her memory and her embattled community  this is a deeply resonant piece of filmmaking that leaves you sure of one thing    there s always more than one truth  
1135,coriolanus_2010,it s genre writing that entertains while tapping into enduring truths  when caius martius heads into battle against the invading volscians  we get 20 odd minutes of brutal street fighting with rpgs and crackling automatic weapons  the film was shot in serbia  dial a few decades back and it could have been set there  visually and dramatically it works well it s shakespeare by way of black hawk down but as an allegory of modern day geopolitics it doesn t really go anywhere  i admired the movie even though i found it neither fish nor fowl  
1136,martha_marcy_may_marlene,durkin  working with cinematographer jody lee lipes and editor zachary stuart pontier  masterfully sustains an aura of oppressive threat throughout  
1137,senna,a psychologically intriguing if at times too hagiographic portrait of a man who often held pole position in his profession and felt nearer to god because of it  undeniably gripping stuff  even if you can t tell formula one from grecian formula  senna is pretty exciting stuff  most interesting for the way its construction builds on the inherent austerity of auto racing  real life eclipses fiction in delivering a tale that combines heroism  villainy  suspense and a surprising amount of emotional resonance  the new documentary senna has all the full throttle momentum and sweeping emotion any big budget feature could hope for  the movie s assemblage of audio interviews poured mostly over astounding race footage is fit for a shrine  plays like a narrative feature  juicy and alive  with enough kinetic excitement to hook the formula one ignorant  me  i knew next to nothing about the subject   let alone racing fans worldwide  there are some thrilling you are there sequences shot inside the racing car from his pov as he zooms around the tracks  it s like watching a video game made real  
1138,of_gods_and_men,there are numerous sequences of tremendous emotional power here  none more so than one in which the monks gather together to sing an ancient gregorian chant as an algerian army helicopter gunship hovers threateningly overhead  
1139,x_men_first_class,the acting  special effects  and writing were excellent  except possibly the two times xavier tries to hit on women in bars by saying they have  groovy mutation s    first class can safely be watched by first timers  but old faithfuls of the franchise will get a little more  tracing the origins of their favourite characters  if you didn t see the previous movies  you may not be able to appreciate some of the subtle references  but that won t make you enjoy the movie any less  check it out  in truth  the film is a very conventional summer potboiler repackaged in reasonably pretty  moderately crisp wrapping paper  in short  not quite groovy enough  in some glorious zone between mad men and thunderbirds comes this x men prequel  as kinetic as it is character driven  and full of ridiculous retro pleasures  why be so harsh and long winded about a superhero movie  because it s an ambitious superhero movie  as x men films go  this one gets the job done and is certainly better than last stand or wolverine  but there are still just too darn many x men  looks and feels like a very cheesy cold war era b movie    easily chimes in as the best  most engaging and visually impressive x film so far  serviceable but seems more dutiful than dynamic  and is muddled by all sorts of random false notes  this blazing  pre boot  breathes new life into the sagging franchise the film is ultimately undone by that old paradox of hollywood movie production  if you are given enormous budget  you have to spend every penny  
1140,the_descendants_2011,wants to be mature but can t help shortchanging its drama through constant reliance on its protagonist s unimpeachable nobility  in playing an everyman stranded between anger and duty  clooney earns an emotional payoff that a lesser actor would simply demand  
1141,attack_the_block,the line for this future cult hit starts here  get in it before your friends tell you to  this spunky  low budget british action comedy proves once again that a smart script can breath new life into even the most tired of subjects  
1142,incendies,normally i m against decent original stories being dumbed down and squashed into bog standard thriller shapes  but incendies is in dire need of some dumbing down  
1143,tabloid_2010,operates as both an examination of the dominating media mentality at the time and an embodiment of it  no less keen on delving into the juicy details now as tabloid rags were then  morris suggests that you can sometimes find profundity in triviality   and though joyce condemns herself out of her own mouth  it is always possible to feel sorry for a woman whose obsession has so totally ruled her life  the movie is guilty of condescending toward its subjects  though most of them appear to be having a fabulous time telling tales  
1144,into_the_abyss_2011,the extensive use of lurid crime scene videos and subtitles set in a naff typewriter font sit uneasily with the director s opposition to capital punishment  when tolstoy said all unhappy families are unhappy in their own ways  perhaps he was thinking of texas  but even he reckoned without the rich  extraordinary complexities of unhappiness chronicled in herzog s film  into the abyss does what too few documentaries these days do   it gives ample play to all sides of the argument  herzog allows us to think things through on our own  herzog s investigation may not work as an anti death penalty editorial  but its findings are undeniably profound  
1145,the_girl_with_the_dragon_tattoo,overall the movie does take allegiances with both the book and original movie  but it comes into its own to unravel a truly alluring story  was it really worth the effort  for all fincher s famously fanatical control  he can t dispel the stench of half baked cheese that hangs over the source material  i could not take my eyes off the film and never once wanted to exit the theatre  all of which are attributes i don t want to diminish or dispute in any way whatsoever  this is a finely honed genre thriller  but it also continues fincher s preoccupation with the persistence of age old urges in the modern world  the movie feels like a cartoon  brilliantly achieved but utterly shallow  fincher s dragon tattoo rockets through the freezing northern european landscape like the most powerful car on the market  we know what will happen and it s still riveting  mara s efficient  straightforward physicality and her watchful but implacable expression are just right for the character who is about to kick the hornet s nest  immaculate style  questionable substance  an altogether leaner  meaner  more high powered  stylish  and deftly directed affair  though similarly hampered by a too long narrative fuse  even fincher s elegantly gruesome style can t turn this swedish noir into the meditation on evil and corruption that it fancies itself to be  an entertaining 2 5  hours for those who don t mind plot details sliding right by  but for the rest  insufficient resources to piece together the investigation is fairly frustrating  
1146,rango,rango is a superbly written  masterfully shot feat of making us believe that yes  ugly critters can also possess the kind of heroic qualities that this world needs more of  just when you thought you d seen everything  here comes chinatown  the animated version  the film unspools as an admittedly bizarre blending of an animated adventure film for kids and a meta comedy about a character who must morph from being a fictitious hero to being a real one  there s more visual wit in gore verbinski s rango than the last two pixar films combined  adults and slightly older children should have a great time  what elevates it above a cheeky romp is the skilled cgi work  not only the wealth of tactile detail lavished on the parched townsfolk but also the painterly  sand swept vistas they call home  
1147,king_of_devils_island_2011,imagine a cool hand luke that swaps out star vehicle pleasures for gray scandinavian suffering  and you d have something like marius holst s prison drama set in 1915 norway  
1148,winnie_the_pooh_2011,it s beautifully handled by directors stephen j  anderson and don hall  everything working on the perfect childlike level that speaks directly to the youngest of children without ever once talking down to them  
1149,the_four_times,the god s eye view becomes mesmerizing when we stop insisting that the film flatter us and just enjoy a quiet ride on the cycle  i drifted pleasantly in its depths  if dante hadn t already made classic use of the title  michelangelo frammartino s le quattro volte could instead have been called the divine comedy  
1150,city_of_life_and_death,lu does more with the first 50 minutes than some directors accomplish in 10 movies  
1151,contagion_2011,a bit of a mixed bag at times  its overall well developed character sketches and good performances will certainly keep the attention of moviegoers and no doubt increase dvd sales  as well as  perhaps  sales of purell   no  soderbergh and burns are more interested in tackling this scenario from an almost unbearably direct and unambiguously straightforward journalistic perspective  as disaster celeb loaded disaster movies go  it could have been a lot worse  the all star disaster movie genre is taken out of the 1970s and given a stylish and largely persuasive 21st century makeover by director and cinematographer steven soderbergh  ever the cerebral essayist  soderbergh isn t in this for edge of your seat thrills   his approach is more cold sweat than burning fever  another soderbergh studio job well done  a starkly effective ensemble drama which could well do for the sniffles what jaws did for great whites  if you re looking for some kind of poetry some exalted dramatic arc that lifts this narrative out of the ordinary you won t find it here  contagion is   gripping from start to finish  if sound it out never really digs its claws into its material  it at least approaches it with a careful level of thought and commitment  along with the stars  contagion has plenty of scares  though in contrast to matt damon and kate winslet  they re things you encounter every day  
1152,knuckle_2011,knuckle largely skirts exploitation  simply by virtue of showing this conflict perpetuate itself over so many years  clans like the quinn mcdonaghs and the joyces seem destined to fight for generations after they ve forgotten their rationale  
1153,the_tree_of_life_2011,malick s earnest pretentiousness surely invites derisive laughter  but it also withstands it  and like the ancient evergreen of its title  it towers benevolently over less ambitious movies    ideally  you would bathe in a film like this without striving to decipher it  as it s a film about what we can t get our heads around  we are probably not meant to get our heads round it  but  even so  it is so audacious it will take your breath away      it s too bad what could have been a beautifully crushing family drama was usurped by a massive amount of unnecessary special effects clouding the real story  it s difficult to shake the sense of it as the spectacle of a man gone deep sea diving in his own navel  an extraordinary vision of first contact  not between two cultures but between a soul and the universe  one for the history books  the tree of life pushes american cinema into regions uncharted since stanley kubrick s heyday  all that really emerges is that terrence malick   has  stanley kubrick style  fermented into a filmmaker with a glacial output who begs to be deciphered rather than enjoyed  you don t watch the tree of life so much as loll in front of it  it s part puzzle  part coming of age tale  part wildlife documentary  and all mind blowing  sections of malick s expansive  fitfully brilliant  occasionally sloppy film are so powerful that you can only gaze up at the screen in wordless awe  in this flawed yet masterful  unforgettable movie  malick argues that even the tiniest mote can have value  he sees miracles everywhere  you just have to make an effort to see them  too  glibly put  this challenging time skipping rumination is the big screen equivalent of watching that  tree  grow  the result actually plays like a divine pronouncement  cosmic in scope and oracular in tone  a cinematic sermon on the mount that shows its creator in exquisite form  exquisite but frustrating  
1154,the_black_power_mix_tape_1967_1975,by resisting the impulse to let present day moralists tamp the story into safe hindsight shape    it allows us to glimpse rawer and more remarkable elements of mutual transformation in real time  olsson includes material that might typically have been considered outtakes and lets clips play at length  reinforcing an impression of intimacy with the participants in the scene  it s thrilling to hear from unrepentant revolutionaries such as angela davis and amusing to hear from their bell bottomed white lawyers  the black power mixtape 1967 1975 is not your standard documentary dealing with racism in america  it is not a comprehensive history but the footage is an extraordinarily potent reminder that the stand taken by black people eventually bore fruit  interesting stuff  though it sometimes looks like a block of unedited raw material  blazing interviews with angela davis and stokely carmichael supply stinging and unforgettable rhetoric  it simply can t fail with footage this wild  while it assumes a fair bit of knowledge of the social changes exploding in sixties america  there s a wealth of fascinating material and punchy insights into an earth shaking movement  you watch the material here and wonder whether most of the movies made about black people are meant to pacify general audiences  to distract them from demanding more of the movies  this chronicle of pride and social upheaval is filled with vintage images and important voices  the black power mixtape includes plenty of interest  but it would be stronger if the filmmakers had dug a little deeper into the footage from 1967 to 1972 and skipped the final years altogether  you are left in a bracing state of confusion  wondering how much has changed and how the change took place  because olsson is working exclusively with film shot by other people  with their own 40 year old agenda  he loses some of what decades of reflection  reconsideration  and historical context could ve brought  
1155,certified_copy,were it not for the transcendent presence of binoche  and her transfixing cleavage   i suspect certified copy might feel even more like homework  the conclusion is abrupt and unsatisfying  but the philosophical dialogue kiarostami manages to keep aloft for well over an hour touches on intriguing questions of openness  self honesty  and personal freedom  the movie threatens to become a sketch about a coquette and a boor squabbling at each other to little effect  there s a divinely comical lightness to binoche here  even in states of conniption and complaint  she s floating  albeit manically  the iranian writer director abbas kiarostami has always been enthralled by the shifting planes of fantasy and reality  his latest film  certified copy  is his fullest expression of that entrancement  a film as audacious and radical as any likely to see theaters this year  it is a calm sort of dream  a serious work about love and truth and fraudulence and authenticity done with a mysteriously light touch  kiarostami never completely spells things out  assuming audiences can think for themselves and appreciate all the film s subtleties and reverberations  let s hope he s right  kiarostami has a wonderful star in juliette binoche and an interesting find in william shimell  a british opera singer making his dramatic film debut  it is literate and engrossing  with excellent performances by binoche  who won the best actress prize last year at cannes  and shimell  in his screen debut  despite its modernist sensibility  there is little reason to be intimidated  unless you find the character of james abhorrent  
1156,point_blank,if the storyline doesn t amount to much more than b movie leftovers  there isn t an ounce of fat on them  an exhilarating adrenaline rush with breakneck momentum so shrewdly calculated that you could imagine its french director  fred cavay  standing by with a heart rate monitor  
1157,cormans_world_exploits_of_a_hollywood_rebel,none of it gets us anywhere truly close to the beating heart of an essentially retiring figure  the movie delivers a compelling argument for appreciating the filmmaker as a major artist who s both largely responsible for many mainstream hollywood cinema trends while somehow remaining superior to them  an excellent introduction to a director equally adept at following his own vision and nurturing those of others  
1158,buck,meehl roots this redemption tale in carefully observed demonstrations at his clinics  even as the gorgeously shot landscape reminds us why stories like this are hollywood s very lifeblood an unforgettable film about an extraordinary man  
1159,submarine-2010,a cool  well directed  if somewhat sterile and self consciously quirky affair about teen awkwardness  virginity  infidelity and dead end marriages  all of this makes it sound as if ayoade is trying much too hard but the gentleness of his touch succeeds in keeping pretentiousness safely out of the picture  there have been any number of movies about the problems faced by teenagers when they fall in and out of love  but the team behind submarine seem to have got it all just right  that rare teen comedy where the kids aren t gorgeous  the hero isn t heroic and the object of desire has a lot of reasons why she isn t necessarily desirable  an exercise in briny welsh weltzschmerz that tracks the inner and outer worlds of a confused teenage boy  submarine pulls off the difficult trick of being bittersweet without being saccharine and does so with a quietly riotous aplomb  for an unreliable narrator  oliver s story is reliably entertaining  whatever flaws the film may have  it s certainly unlike anything else in theaters right now  these things could have easily resulted in a mass outbreak of broad comedy  but the actors play their roles completely straight  in submarine  you truly ache through the awkward moments    even as you re laughing out loud  there are no really profound insights in  submarine  except this  that you ll never really know another person unless you re willing to take the plunge  ayoade is better at establishing a road map of what  submarine  is supposed to be rather than pulling all its elements together cohesively  i suggest you take a chance on  submarine  and find out if its particular comic angst rings any bells  be you male or be you female  welsh or american  16 or 61  
1160,margin_call,greed isn t merely good here  it s god  and he s about to smite his acolytes with blazing old testament relish  chandor proffers a cross section of a lehman brothers esque company as the realisation dawns that sub prime speculation has brought the market to an ominous tipping point  topical drama about the financial crisis lacks the visceral punch to grab an audience  it s a realistic take on what happens when high flying money speculators suddenly hit ground  it s also a great calling card for j c  chandor  the writer director making his feature debut  
1161,the_trip_2011,terrific stuff  fuelled by some inspired and very funny improvisations   their duelling michael caine impersonations are a scream   the film gradually settles into a meditation on mid life malaise  much more than an appetizer  if not quite a main course  it definitely goes down a treat  think the odd couple with sartorial style and more bickering  add hints of truisms about middle age  sex  family  mortality and the limits of friendship and the trip reveals itself to be more than it initially appears  the trip works surprisingly well on the big screen as one continuous tale  that s down to its two leading men  who clearly relish sharing screen time with one another  the joy of this small  unimportant contest is weirdly addictive  you come out of the film as if from a concert  playing the music of false voices in your head   the  humor in this film is so strong and so overpowering there were more than a few instances where my gut began to hurt because i was laughing so hard  have you ever been trapped in the back seat of a car while the old married couple up front bickers and banters for hours  it s either sheer torture or  if the couple happens to be steve coogan and rob brydon  wildly entertaining  coogan and brydon  as they proved earlier in winterbottom s brilliant  tristram shandy  a cock and bull story   are a pair of pretty funny guys to spend time with  their riff on  we leave at daybreak   is almost worth the ticket price  the odyssey goes on a bit too long  and i suppose a taste for extra dry british comedy is a requirement  but this trip is well worth one  the movie offers enough good one liners  both comic and ruminative  to hold one s interest  but don t expect much else  
1162,elite_squad_the_enemy_within,when this enemy within settles into key action sequences  such as a stunning nighttime ambush or a daytime battle against fabio  it becomes wildly entertaining  padilha s film offers no easy answers  but the title is a tip off as to where at least his sympathies lie  throttles forward with remarkable aplomb and easily leaves the original in the dust  elite squad is just urgent and complex enough to make it clear violence is more than a matter for academic debate  jammed with cliches but completely engrossing  it resembles a flow chart splattered with blood and spittle  more static and smeary in tone than the finger pointing corrective director cowriter jose padilha intended  padilha s style is so urgent and immediate that you almost feel like you re in the midst of an especially advanced video game  our hero s prominence sets up a stellar conclusion that retroactively questions both the first movie and its substantial audience  it s wagner moura s spotless embodiment of the principled brazilian man for whom aggression and being coincide that renders the film such an immersive experience  
1163,uncle_boonmee,what would pass for longueurs in another director s movie become commands for rumination here  
1164,beats_rhymes_and_life_the_travels_of_a_tribe_called_quest,this authorized documentary is more of a celebration of the legendary queens quartet than a serious exploration of their art  but considering how brilliant they were at their peak  it s hard to disagree with the general sentiment  despite accusations of nearly succumbing to spotlighting beefs over beats  the film comes off as an honest representation of a great group that s not to be forgotten  thanks to a particularly even handed job by director michael rapaport  the story emerges as compelling  even for non fans in the audience  there s nothing new about the bickering between lead rappers q tip and phife  or their redundant breakup and reunion cycle  it helps that these lyricists are our key narrators  so at least they add wit and humour to their brief history  there are scenes toward the end of the movie that hint at a fuzzier tomorrow for tribe  but you leave appreciating the music as it was  not hoping for anything else  the emotional honesty rapaport captures on screen comes off as real  a cut above standard issue behind the music drama in terms of believability  even those who never joined the cult of a tribe called quest will find this clear eyed chronicle of their career irresistible  rapaport  in his feature directorial debut  does an admirable job recounting the group s formation and dissecting its dissolution   beats  rhymes   life  is a must for hip hop heads  others will either be won over or left wondering what all the fuss is about  but unlike so many movies about the rise and fall of successful bands  this one manages to capture the thrill of discovery that a tribe called quest enjoyed  at least in their early years  
1165,cedar_rapids_2010,its breezy charm papers over narrative cracks and minor annoyances  
1166,the_ides_of_march,morris and meyers may have treated stearns as disposable  but the filmmakers shouldn t have  and we as viewers shouldn t have to either  while the eventual awful revelations might shock liberals who believe the absurdly sunny west wing to be a documentary  anybody with a shard of cynicism in their heart will react with an unsurprised shrug  it has disdain for the process  showing the inherent hypocrisy living inside the political system and the corruptive influence it can have on the lives and mores of seeming innocents caught up within its withering whirlpools of self aggrandizement  a marvellously stable thriller that squeezes you so expertly you react in all the ways it wants  you could set your watch by the ides of march  george clooney s sleek potboiler about soured idealism  spin and dirty secrets  a dark drama that gleams with pure quality  the world of politics provides all the drama and satiric fodder any filmmaker could ask for  and even though the public has shown indifference to such movies in recent years  hollywood keeps making them    the ides of march has star power on its side  with clooney and gosling in the leads  but even if people are attracted to theaters by their presence they re not likely to leave feeling satisfied    as for clooney  when he steps from behind the camera  his candidate exudes an easy  judicious authority  this is intelligent filmmaking  and a provocative moral fable  it may not be perfect  but it stands as one of the better  most realistic movies about the way we elect our leaders  from the film s ideological vantage point  moderate democrats are machiavellian devils  and republicans are an inconceivable evil looming on a distant horizon  like the white walkers in game of thrones  just about every other scene in the film is a simple pleasure unto itself between the equally confident writing  direction and performances  clooney does a good job opening up the ideas willimon first explored onstage  but the result is still a pessimistic truth so universally acknowledged that it doesn t bear repeating  however stylishly  it s great fun for us to see an entertaining movie we can watch without guilt  
1167,rise_of_the_planet_of_the_apes,distinguishes itself from other ill conceived reboots in general  and from tim burton s disastrous 2001 remake in particular  by looking with fresh  simian eyes at its core conflict between human and primates  caesar then gets bigger and crankier  he must choose  as a final career option  between maximum security retirement or world changing multi ape mayhem atop the golden gate bridge  take a guess  show me some ape stuff that s new and surprising  a well crafted b movie with astonishingly effective motion capture cgi technology  director rupert wyatt wisely keeps the scenes busy and the momentum building so that you would barely notice all the logistical nonsense on screen  
1168,1209933-puss_in_boots,puss in boots kind of surprised me  far more witty then i expected it to be  nicely animated and featuring a charming story of forgiveness and redemption that belies its shrek inspired fractured fairy tale roots  this movie more than won me over  what kids will get from it is plenty of fairly outrageous but not often witty fun with fairytale elements blended into a kind of latterday spaghetti western  for the rest of us  there is plenty of nice visual detail  this western parodying cat with too many names is closer to rango than to anything from the kingdom of far far away  like most kittens  it s not always perfectly behaved  but at least this new puss adventure doesn t have you reaching for the cinematic spray bottle  puss in boots prances along on three basic truths  one  cats are funny  two  vain spanish cats in high heeled musketeer boots are even funnier  lastly  booted  vain spanish cats voiced by a breathy antonio banderas are flat out hilarious  an almost purr fect little film that even a dog owner can enjoy  
1169,super_8,it s a by the numbers blockbuster  but one with a key element that s missing from most of the big budget bloatfests crowding each other for space on the marquee every summer  heart  while it may not achieve the level of pop culture canonization as the spielberg films it invokes  super 8 should inspire many to use their camera phones for something more creative than a profile pic  a spielberg pastiche of uncanny precision and sublime pointlessness  super 8 is the most intensely spielbergian film you ll ever see that steven spielberg didn t actually direct himself  and it s early spielberg  what keeps us enthralled is its nostalgic sensibility  partly for the time but mostly for its old school film making values  wears off like a warm childhood memory  the geekery has charm  but is a little self conscious and just occasionally  this movie resembles an open ended  rambling drama serial that gets a little  well  lost  a diverting but rather pointless affair  undermined by its obsessive and clinical commitment to recreating past glories  spielberg and abrams are the unwitting targets of their own irony  abrams is great at keeping his balls in the air  but when it comes time to catch them  he s all thumbs  regrettably  writer director jj abrams  star trek  mission impossible iii  co creator of tv series lost  is better here at building suspense than paying it off  a piece that satisfies what we ve been craving ever since the viral campaign began  yet one that goes in directions we d never expect and that blend is what makes it such a special film  
1170,tinker_tailor_soldier_spy,just watching gary oldman and his trenchcoated brethren march down the damp  ill lit streets of cold war london is enough to make you shiver  
1171,armadillo_2010,lets the soldiers tell their stories by the way they live day to day during their tour of duty  when the bombs go off and the bullets start flying  metz and his cameraman provide a real life vision of what a hurt locker is really all about  the movie s strength and audacity comes from the danish soldiers  who confront civilians with wariness or bluntness  exalt in their victories and hesitantly exhibit fear in each others  company  a mesmerizing  beautiful and terrifying documentary that can stand among the greatest war movies ever made  facile documentaries like this one  no matter how sincere their intentions may be  don t help the case  it s a sickening but stunning portrait of combat that looks past notions of bravery or brutality  guilt or innocence  to bear witness to a thoroughly besieged humanity  while much of armadillo echoes last year s restrepo  the unprecedented access of director janus metz and cameraman lars skree reveals the alternating waves of frontline tedium and terror with fresh immediacy  it took great courage for janus metz and lars skree to make armadillo   first to shoot it under such conditions and then to present the material in this non judgmental manner  janus metz s project is certain to prove far more revelatory to his fellow countrymen than it will when it makes its stateside debut  a remarkable documentary that was filmed in life threateningly dangerous circumstances and brings military conflict to nerve shredding  horribly intimate life  whether or not these elements can be taken together in good taste is for the viewer to decide  but the experience of watching armadillo is a gut wrenching and memorable one  metz calculates perfectly the distance to keep from his material  not too close  not too far  the exact point in space where compassion can merge with critique  what metz gives us is an unusually intimate portrait of the cycle of arrival  survival and departure experienced by soldiers on a six month tour of duty  
1172,beginners,a quietly moving  delicately mounted romantic drama that touches the heart with resorting to melodrama or an over reliance on conflict  it s one of those movies i can t be sure you ll be tempted by  but i m certain that if you are  you ll like it very much  an oddly charming concoction  wwhile there s plenty of melancholia  there is also sweet wonder and celebration in writer director mike mills  semiautobiographical tale of a straight son coming to terms with his own love s possibilities after his father comes out of the closet  
1173,meeks_cutoff,a film ponderously slow in pace yet kinetically charged with insight  starkly realistic yet allegorical too  psychologically astute yet politically resonant  
1174,terri_2011,whereas jacobs pre has been most concerned for the past four decades with using cinema as an instrument for exploring the mechanics and boundaries of visual perception  jacobs fils is less a mad scientist than a misfit bard  lest you think that you ve already seen every possible variation on the outsider nerd story  terri keeps plenty of surprises up its pit stained sleeves  its charms feel somewhat calculated  but this reflective tale of outsider solitude has enough humor and poignancy to win admirers  
1175,jane_eyre_2011,those craving gloomy stairways and thunderclap atmospherics might not come away completely sated  but fukunaga s delicate artistry leaves it hard to ask for much more  following his impressive feature debut  sin nombre  director cary fukunaga has brought his keen eye and humanistic sensibilities to this oft told story  
1176,1212910-warrior,carries you along despite its obvious faults and pretensions hardy s physicality here is something to behold  you wonder how many personal trainers he worked his way through to get those neck muscles  
1177,bobby_fischer_against_the_world,how did fischer rise so high and then tumble so far  garbus doesn t pretend to have all the answers  but she shines light into dark corners  another quality picture for hbo documentaries  
1178,captain_america_the_first_avenger,johnston should be saluted for old fashioned heart in a cynical age  while marvel should be confined to barracks for cynical marketing  
1179,carancho,some movies are described as explosive  this is positively eardrum perforating  the statistic that 8 000 argentinians die in traffic accidents every year gives his film a context  but trapero didn t need to work quite so hard to prove it  the argentinean actor ricardo darn  the secret in their eyes  has an almost bogart like gift for playing world weary rotters with a core of nobility  at heart an unlovely love story illuminated by sudden flares of violence  the film reeks of hopelessness and moral destitution  offering its lovers few means of escape  
